c_kincode,c_kin_pair1,c_kin_pair2,c_kin_pair_notes,c_kinrel_chn,c_kinrel,c_kinrel_alt,c_pick_sorting,c_upstep,c_dwnstep,c_marstep,c_colstep
-1,-1,-1,,"[missing data]","[missing data]","[missing data]",10000,0,0,0,0
0,0,0,,"未詳",U,undetermined,9999,99,99,99,99
2,303,303,,"直系祖先",G-n,"G-n, lineal ancestor, generation unknown",50,99,0,0,0
3,301,-10000,,"妻之直系祖先",WG-n,"Ancestor of wife",150,99,0,1,0
4,304,304,,"同族長輩",K-n,"Lineage ancestor,  generation undefined",50,2,1,0,2
6,305,-10000,,"妻之同族祖先",WK-n,"Wife's lineage ancestor, generation undefined",150,2,1,1,2
8,301,-10000,,"第一任妻之直系祖先",W1G-n,"W1G-n Wife's ancestor, generation undefined",9999,99,0,1,0
9,299,299,,"四十三世祖",G-43,G-43,9999,43,0,0,0
10,298,298,,"四十二世祖",G-42,G-42,9999,42,0,0,0
11,297,297,,"三十八世祖",G-38,G-38,9999,38,0,0,0
12,296,296,,"三十五世祖",G-35,G-35,9999,35,0,0,0
13,295,295,,"三十世祖",G-30,G-30,9999,30,0,0,0
14,294,294,,"二十七世祖",G-27,G-27,9999,27,0,0,0
15,293,293,,"二十二世祖",G-22,G-22,9999,22,0,0,0
16,292,292,,"十九世祖",G-19,G-19,9999,19,0,0,0
17,291,291,,"十八世祖",G-18,G-18,9999,18,0,0,0
18,289,-10000,G+17H,"妻之十七世祖",WG-17,WG-17,9999,17,0,1,0
19,290,290,,"十七世祖",G-17,G-17,9999,17,0,0,0
20,288,288,,"十六世祖",G-16,G-16,9999,16,0,0,0
21,287,287,,"十五世祖",G-15,G-15,9999,15,0,0,0
22,286,286,,"十四世祖",G-14,G-14,9999,14,0,0,0
23,285,285,,"十三世祖",G-13,G-13,9999,13,0,0,0
24,284,284,,"十二世祖",G-12,G-12,9999,12,0,0,0
25,283,283,,"十一世祖",G-11,G-11,9999,11,0,0,0
26,282,282,,"十世祖",G-10,G-10,9999,10,0,0,0
27,280,280,,"九世叔伯祖",G-9B,G-9B,9999,9,0,0,1
28,281,281,,"九世祖;太高曾祖",G-9,G-9,9999,9,0,0,0
29,279,279,,"八世祖;太高祖",G-8,G-8,9999,8,0,0,0
30,278,278,,"八世叔伯祖",G-8B,"G-8B Brother of 8th generation ancestor",9999,8,0,0,1
31,277,277,,"七世祖;太曾祖",G-7,G-7,9999,7,0,0,0
32,276,-10000,G+7H,"妻之七世祖",WG-7,WG-7,9999,7,0,1,0
33,271,-1,BSSSSD,"五世叔伯祖",FFFFFB,"G-5B FFFFFB",9999,5,0,0,1
